title,author,start,end,coverSmallUrl
꼭 알고 싶은 수용-전념 치료의 모든 것,이선영,2023-02-14T00:00:00.000+09:00,2023-09-06T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791160020830.jpg
수용전념치료 배우기,Jason B. Luoma,2023-05-21T00:00:00.000+09:00,2023-10-08T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788963309453.jpg
The Good Enough Job,Simone Stolzoff,2023-08-08T00:00:00.000+09:00,2023-09-18T00:00:00.000+09:00,http://books.google.com/books/content?id=64GEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
수치심,조지프버고,2023-08-14T00:00:00.000+09:00,2023-10-19T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788932320137.jpg
행복에 걸려 비틀거리다,대니얼길버트,2023-08-15T00:00:00.000+09:00,2023-12-29T00:00:00.000+09:00,http://books.google.com/books/content?id=eVzGMQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
횡설수설하지 않고 정확하게 설명하는 법,고구레다이치,2023-08-22T00:00:00.000+09:00,2023-08-27T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191842319.jpg
강원국의 글쓰기 - 남과 다른 글은 어떻게 쓰는가,강원국,2023-09-20T00:00:00.000+09:00,2023-10-09T00:00:00.000+09:00,http://books.google.com/books/content?id=_uFqDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Think Big,Grace Lordan,2023-10-12T00:00:00.000+09:00,2024-01-11T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9780241420164.jpg
카바니스의 정신역동적 공식화,Deborah L. Cabaniss,2023-10-13T00:00:00.000+09:00,2023-11-03T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788999718298.jpg
싱크 어게인,애덤그랜트,2023-10-23T00:00:00.000+09:00,2023-12-04T00:00:00.000+09:00,http://books.google.com/books/content?id=6QhZzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Psychodynamic Psychotherapy,Deborah L. Cabaniss,2023-11-07T00:00:00.000+09:00,2024-07-03T00:00:00.000+09:00,http://books.google.com/books/content?id=SDC8DAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
후회 버리는 습관,한근태,2023-12-01T00:00:00.000+09:00,2023-12-03T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954768344.jpg
심리치료의 비밀,루이스코졸리노,2023-12-04T00:00:00.000+09:00,2023-12-24T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788920031229.jpg
고수의 학습법(배움을 즐기고 끊임없이 성장하는),한근태,2023-12-04T00:00:00.000+09:00,2023-12-07T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791196826741.jpg
탄력적 습관：당신의 삶에 완벽하게 들어맞는 스마트한 습관법,"스티븐 기즈, 김정희",2024-01-14T00:00:00.000+09:00,2024-01-25T00:00:00.000+09:00,https://image.yes24.com/goods/93764236/XL
Feel-Good Productivity,Ali Abdaal,2024-02-01T00:00:00.000+09:00,2024-03-05T00:00:00.000+09:00,http://books.google.com/books/content?id=ZnagEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
당신의 특별한 우울,린다 개스크,2024-02-01T00:00:00.000+09:00,2024-03-08T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791155812884.jpg
포커스(Focus),이준희,2024-02-26T00:00:00.000+09:00,2024-03-12T00:00:00.000+09:00,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791196700560.jpg
"시간을 정복한 남자, 류비셰프",다닐 알렉산드로비치 그라닌,2024-03-13T00:00:00.000+09:00,2024-03-14T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3243820/32438202813.20221228072155.jpg
당신의 1분은 얼마인가 (세계 최고 MBA 와튼스쿨의 시간관리 수업),무란,2024-03-15T00:00:00.000+09:00,2024-03-26T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3243642/32436426756.20230822104318.jpg
"딥 워크 (강렬한 몰입, 최고의 성과 | 일과 삶의 균형을 잡는 스마트한 업무법)",칼 뉴포트,2024-03-15T00:00:00.000+09:00,2024-03-24T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3247603/32476030879.20230725120129.jpg
단지 메모만 했을 뿐인데 (가슴 뛰는 삶을 위한 메모 사용 가이드북),유영택,2024-03-16T00:00:00.000+09:00,2024-03-27T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3244085/32440858826.20230523091746.jpg
"불렛저널 (과거를 기록하고, 현재를 정리하며, 미래를 계획하라)",라이더 캐롤,2024-03-24T00:00:00.000+09:00,2024-04-09T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3243612/32436123535.20240216070919.jpg
배움이 습관이 될 때 (14일 만에 이상적인 나를 만나다 | 이제는 어른 공부를 시작해야 한다),사이토 다카시,2024-03-28T00:00:00.000+09:00,2024-04-06T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3249722/32497227273.20221019135729.jpg
돈이 되는 글쓰기의 모든 것 (지금 배워 100살까지 써먹는 일과 삶의 진짜 무기),송숙희,2024-03-30T00:00:00.000+09:00,2024-04-19T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3248046/32480462725.20230927071338.jpg
체크 체크리스트,Atul Gawande,2024-04-10T00:00:00.000+09:00,2024-06-24T00:00:00.000+09:00,http://books.google.com/books/content?id=6dbKcQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
감정은 어떻게 만들어지는가?,리사 펠드먼 배럿,2024-04-22T00:00:00.000+09:00,2024-07-03T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3246666/32466666921.20230829085722.jpg
Oxford Bookworms Library 4 : The Big Sleep,레이먼드 챈들러,2024-05-19T00:00:00.000+09:00,2024-07-07T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3246353/32463535760.20221229074628.jpg
"영어, 이번에는 끝까지 가봅시다 (실리콘밸리로 떠난 50대 직장인의 단단한 영어 체력 만들기)",정김경숙,2024-06-03T00:00:00.000+09:00,2024-06-25T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_4489763/44897636627.20231228072127.jpg
당신도 느리게 나이 들 수 있습니다(리커버:K) (나이가 들어도 몸의 시간은 젊게),정희원,2024-06-20T00:00:00.000+09:00,2024-07-15T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3662593/36625938623.20230725121514.jpg
우울할 땐 돈 공부,조성준,2024-06-22T00:00:00.000+09:00,2024-07-12T00:00:00.000+09:00,https://shopping-phinf.pstatic.net/main_3245529/32455299630.20230920072224.jpg
